Sentence,Aspect,Polarity
l ' usine nổi_tiếng với cafe và bristro sang chảnh với không_gian thoáng và sáng .,"['AMBIENCE#GENERAL', 'RESTAURANT#GENERAL']","[{'AMBIENCE#GENERAL': 'positive'}, {'RESTAURANT#GENERAL': 'positive'}]"
"phục_vụ nhiệt_tình , thân_thiện , lên món hơi chậm .",['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'neutral'}]
quán nằm trên hẻm nhỏ đường_cao thắng .,['LOCATION#GENERAL'],[{'LOCATION#GENERAL': 'neutral'}]
"trang_trí vẫn rất đẹp , phần bánh mới nướng nên ấm giòn kết_hợp với dâu và kem và nước sốt thì khá ok .","['DRINKS#STYLE&OPTIONS', 'FOOD#QUALITY']","[{'DRINKS#STYLE&OPTIONS': 'positive'}, {'FOOD#QUALITY': 'positive'}]"
mỗi hộp trà như này là có gói .,['DRINKS#STYLE&OPTIONS'],[{'DRINKS#STYLE&OPTIONS': 'neutral'}]
wifi yếu lắm nhaa nch tới đây là vì toast rất đỉnh ghiền í .,"['RESTAURANT#MISCELLANEOUS', 'FOOD#QUALITY']","[{'RESTAURANT#MISCELLANEOUS': 'negative'}, {'FOOD#QUALITY': 'positive'}]"
"nửa cánh_gà hết , chỉ còn thanh cá nhưng mình chọn gà , bạn nhân_viên hiền lắm nói mình chuyển sang chọn thanh cá nhưng không nói lý_do , mình ko bk nên ko chịu , bạn đó rối , thấy vậy mình hỏi nửa cánh_gà hết rồi ha , thôi lấy thanh cá cũng được , mà nhìn ban đó hiền hiền sau đó .","['SERVICE#GENERAL', 'FOOD#STYLE&OPTIONS']","[{'SERVICE#GENERAL': 'positive'}, {'FOOD#STYLE&OPTIONS': 'neutral'}]"
"menu nhiều lựa_chọn , giá_cả ok , món ăn khá chất_lượng .","['FOOD#STYLE&OPTIONS', 'FOOD#PRICES', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'positive'}, {'FOOD#PRICES': 'positive'}, {'FOOD#QUALITY': 'positive'}]"
thật chứ ăn hoài k biết ngán là gì luôn .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
"trong lúc chờ_đợi cơm gà viên và combo gà , bọn mình ' chén ' kem ốc quế , tornado magic pop .","['FOOD#STYLE&OPTIONS', 'FOOD#PRICES']","[{'FOOD#STYLE&OPTIONS': 'neutral'}, {'FOOD#PRICES': 'neutral'}]"
"sẽ uống luôn được từ trà thơm đến kem , hoà cùng nhau trong miệng rất tinh_tế .","['DRINKS#QUALITY', 'DRINKS#STYLE&OPTIONS']","[{'DRINKS#QUALITY': 'positive'}, {'DRINKS#STYLE&OPTIONS': 'neutral'}]"
"bữa thì có thêm cái gì đó chiên bột , khổ_qua luộc hoặc nhồi thịt ốc giả .",['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'neutral'}]
mọi người có_thể yêu_cầu thêm món cơm nguội để ăn cùng .,['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'positive'}]
"cả phần đều được bày vào chảo gang , khi rưới nước sốt lên kêu xèo_xèo nho_nhỏ , vị nước sốt rất ngon .","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'positive'}, {'FOOD#QUALITY': 'positive'}]"
phải nói sushi ở đây ngon tuyệt nha mấy bạn .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
"phúc long trần cao vân ở ngay vòng xoay hồ con rùa , vị_trí khá đẹp , gửi xe ngay trước cửa trên vỉa_hè luôn dù thấy hơi chật_chội .","['LOCATION#GENERAL', 'RESTAURANT#MISCELLANEOUS']","[{'LOCATION#GENERAL': 'positive'}, {'RESTAURANT#MISCELLANEOUS': 'negative'}]"
giá_cả cũng vậy khu trung_tâm mà ko mắc hơn mấy chỗ kia .,"['RESTAURANT#PRICES', 'FOOD#QUALITY']","[{'RESTAURANT#PRICES': 'positive'}, {'FOOD#QUALITY': 'positive'}]"
quán nằm ngay đầu hẻm nên khá dễ tìm .,['LOCATION#GENERAL'],[{'LOCATION#GENERAL': 'positive'}]
hồng trà kem phomai k nên giảm lượng đường để k bị quá ngọt .,"['DRINKS#PRICES', 'DRINKS#QUALITY']","[{'DRINKS#PRICES': 'neutral'}, {'DRINKS#QUALITY': 'neutral'}]"
"bàn mình thì đồ_ăn ra nhanh , bàn khác mình thấy đợi mòn_mỏi không hiểu sao .",['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'neutral'}]
"bạch_tuộc tươi , ướp vừa , rắc thêm mỡ hành béo béo , đậu_phộng bùi_bùi_, chấm tương_ớt xanh mặn mặn .","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'positive'}, {'FOOD#QUALITY': 'positive'}]"
"đây là món khiến mình chọn quán này , là món duy_nhất mình thấy ngon và làm mình lưu_luyến dĩa như_vậy cũng khá nhiều , người ăn là vừa nha .","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'positive'}, {'FOOD#QUALITY': 'positive'}]"
combo được chuẩn_bị hơi lâu nhưng ăn thấy đáng .,"['SERVICE#GENERAL', 'FOOD#QUALITY']","[{'SERVICE#GENERAL': 'negative'}, {'FOOD#QUALITY': 'positive'}]"
"nước súp ngon lắm nha , ngon ơi_là ngon , vừa_miệng lắm .",['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
"mà đó là phần nhỏ á nha , cắt ra nó thơm_phức .",['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
"à mà topping bên pizza ocean toàn là hàng đông_lạnh đóng_gói í , không vấn_đề gì nhưng nó cũng giảm vị ngon nữa .",['FOOD#QUALITY'],[{'FOOD#QUALITY': 'neutral'}]
nhân_viên cũng bình_thường không quá nhiệt_tình vì mấy bạn ấy phải cắm mặt vào làm bánh_mì không còn thời_gian mà thân_thiện với khách nữa .,['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'neutral'}]
"trong này có phục_vụ bữa tối , ngoài_ra thì bữa trưa có buffet .",['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'neutral'}]
"chất_lượng dịch_vụ khá ổn , nhân_viên phục_vụ nhanh_nhẹn , mỗi cái ghét là ko được quẹt thẻ cửa_hàng tiện_lợi gì mà kì .","['SERVICE#GENERAL', 'RESTAURANT#MISCELLANEOUS']","[{'SERVICE#GENERAL': 'positive'}, {'RESTAURANT#MISCELLANEOUS': 'negative'}]"
"quán thiết_kế theo kiểu cũ cũ trông khá lạ , độc_đáo , tuy_nhiên mình không thích cầu_thang tầng lắm vì hay có mấy chỗ bị bể dễ té lắm .",['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'neutral'}]
gà phô_mai cũng khá là ngon nha .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
"ý_kiến riêng của mình là soup súp_lơ ấy mùi hăng khó ăn lắm mấy bạn không nên gọi , suop bí_đỏ thì ổn hơn .","['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS']","[{'FOOD#QUALITY': 'negative'}, {'FOOD#STYLE&OPTIONS': 'neutral'}]"
mình thấy trên meete có giảm_giá nên ghé quán thử .,['RESTAURANT#MISCELLANEOUS'],[{'RESTAURANT#MISCELLANEOUS': 'neutral'}]
mình cũng từng uống machiatto thì foam milk ở những quán khác_thường ngọt và béo còn ở đây vị hơi mặn mặn .,['DRINKS#QUALITY'],[{'DRINKS#QUALITY': 'neutral'}]
"bánh_xèo bánh_xèo nhựt có thêm mì nha , kiểu hiroshima .",['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'neutral'}]
"nói_chung là ưng , sẽ còn quay lại tiếp , , , .",['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'positive'}]
"không_gian lịch_sự , sạch_sẽ .",['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'positive'}]
"lớp cake cream ngon tuyệt , ngậy ngậy mà không bị ngọt .",['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
"topping như_thanh cua , mực .",['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'neutral'}]
"giá_cả cũng hợp_lý , không rẻ cũng không quá đắt .",['RESTAURANT#PRICES'],[{'RESTAURANT#PRICES': 'neutral'}]
một phen mất_mặt với bạn_bè vì recommend một chỗ quá tệ .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'negative'}]
"mình thích nhất là phần không_gian ngoài vườn , dân_dã .",['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'positive'}]
thấy rw tốt nên ship đến nhà_ăn thữ .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'positive'}]
"phục_vụ ở đây chỉ có cô khá lớn_tuổi nhưng cũng nhanh_nhẹn lắm , mình không phải đợi lâu , và cô cũng rất nhiệt_tình vui_vẻ .",['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'positive'}]
mình gọi trà sữa socola đường size m nhưng phải nói là quá ngọt .,"['DRINKS#STYLE&OPTIONS', 'DRINKS#QUALITY']","[{'DRINKS#STYLE&OPTIONS': 'neutral'}, {'DRINKS#QUALITY': 'negative'}]"
rau đem ra cho khách thì bị đen hết phần đầu .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'negative'}]
nói_chung là một địa_chỉ lí_tưởng để dẫn bạn_bè tới nói_chuyện ăn bánh uống nước đồ .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'positive'}]
"hủ tíu khô ngon , hủ tíu nhiều , nêm hơi lạt nên mình hay cho tương_ớt , nc tương với tỏi để thêm hương_vị .","['FOOD#STYLE&OPTIONS', 'FOOD#PRICES', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'positive'}, {'FOOD#PRICES': 'neutral'}, {'FOOD#QUALITY': 'positive'}]"
hai ng ăn vừa đủ tàm_tạm .,['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'neutral'}]
"vị_trí ở dưới tầng hầm lotte center , khu lotte_mart á .",['LOCATION#GENERAL'],[{'LOCATION#GENERAL': 'neutral'}]
"tiệm bánh_mì khá nhỏ trong khu tập_thể , phải đi lòng_vòng mới thấy nhé .","['AMBIENCE#GENERAL', 'LOCATION#GENERAL']","[{'AMBIENCE#GENERAL': 'negative'}, {'LOCATION#GENERAL': 'negative'}]"
"cô_mình gọi nhiều cay nên mình ăn k thấy ngon lắm , cô với bà thì khen .",['FOOD#QUALITY'],[{'FOOD#QUALITY': 'neutral'}]
matcha ngon ghê á .,['DRINKS#QUALITY'],[{'DRINKS#QUALITY': 'positive'}]
"quán dễ tìm bởi nhìn ngoài quán có phong_cách rất đặc_biệt , kiểu rừng_núi cây_cối um_tùm như cái tên của nó vậy .","['LOCATION#GENERAL', 'AMBIENCE#GENERAL']","[{'LOCATION#GENERAL': 'positive'}, {'AMBIENCE#GENERAL': 'positive'}]"
món cơm trộn lúc đem ra cơm cháy dính hết cả đít nồi thành lớp đen luôn .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'negative'}]
yêu quán vì bán món bún_bò ngon quá đi .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
riêng mình thì mình không thích hãng trà sữa này .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'negative'}]
"hàu hôm đó mình ăn khá ngon và tươi , vị ngọt đậm_đà .",['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
"tiếp_theo là tụi mình ăn dessert , kêu hai món là lava với cream brulee , lava thì quán làm nóng nên nhìn chocolate nó chảy chảy ra đã lắm cơ , còn cream brulee nó đặc đặc ăn như cái sốt vàng_vàng kèm theo phần bò .","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'positive'}, {'FOOD#QUALITY': 'positive'}]"
mình là người không ăn mắm nhưng bún mắm ở đây không đậm mùi nên mình rất thích .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
và cũng bỏ luôn size lớn mà chỉ có size m huhu khá buồn vụ này luôn .,['RESTAURANT#MISCELLANEOUS'],[{'RESTAURANT#MISCELLANEOUS': 'negative'}]
"gửi xe khá cực , thấy có chỗ bên cạnh mà ko biết phải gửi xe vô ăn gà ko vì tối ko thấy biển gì .",['RESTAURANT#MISCELLANEOUS'],[{'RESTAURANT#MISCELLANEOUS': 'negative'}]
"pv thân_thiện , nhanh chu_đáo .",['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'positive'}]
"mực mực chiên ít nhưng ngon , mực còn dai đã lắm .","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'negative'}, {'FOOD#QUALITY': 'positive'}]"
đó giờ chắc có nhân_viên ở đây mới làm mình cảm_thấy thích đến vậy .,['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'positive'}]
xí muội thực_chất là khoai xay tẩm bột tẩm muối rang .,['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'neutral'}]
một dĩa rất to ăn hai người là hết ăn nổi mấy món khác .,['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'positive'}]
giá_cả mình luôn ấn_tượng tốt với thương_hiệu bingsu seol hwa .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'positive'}]
gọi là piza hải_sản và dứa mà không sao nuốt nổi .,"['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'neutral'}, {'FOOD#QUALITY': 'negative'}]"
bữa thấy cái voucher bibimbap bên này khá hấp_dẫn nên mua ăn thử .,['RESTAURANT#MISCELLANEOUS'],[{'RESTAURANT#MISCELLANEOUS': 'positive'}]
quán chỉ mở_cửa buổi sáng đến khoảng giờ .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'neutral'}]
"quán bán lâu rồi , chỉ bảng_hiệu nhỏ thôi mà sáng nào khách cũng nườm_nượp .",['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'positive'}]
mình cũng uống gongcha chi_nhánh này nhiều lần rồi nhưng hôm_nay vừa thử loại trà xanh đào mới ra nên viết review luôn .,['DRINKS#STYLE&OPTIONS'],[{'DRINKS#STYLE&OPTIONS': 'positive'}]
lần này lớp mình gọi hai loại là teriyaki chicken và singapore style seafood .,['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'neutral'}]
"mì vừa vị chua_cay ngọt cay thế_nào do người dùng gọi , sợi mì dai dai , rau tươi và đồ_ăn kèm cũng rất ngon .","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'neutral'}, {'FOOD#QUALITY': 'positive'}]"
nhân_viên phục_vụ bình_thường không nhiệt_tình lắm .,['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'neutral'}]
"cty mình ở q hay mời khách_hàng tây âu ăn_ở the convent bar restaurant , không_gian lịch_sự .",['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'positive'}]
"nhưng đến lúc lấy xe , mình giật_mình xe để ngay trc cửa quán với chìa_khoá vẫn để trên ổ_cắm , nhân_viên bảo_vệ thì lướt điện_thoại liên_tục .",['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'negative'}]
về các món ăn set lẩu ếch kim chi dành cho người giá .,['FOOD#PRICES'],[{'FOOD#PRICES': 'neutral'}]
"nhân_viên lúc đầu mình không định đổi quán vì nhân_viên đối_xử với khách lạ khác , khách quen khác .",['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'negative'}]
bánh cũng ngon .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
mới_đầu vô đọc cmt thấy chê nhiều về phục_vụ nhưng khi mình đến khi khác hẳn .,['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'positive'}]
địa_chỉ dễ tìm .,['LOCATION#GENERAL'],[{'LOCATION#GENERAL': 'positive'}]
dù có nướng lại hơi giòn nhưng vẫn còn dai như bánh cũ .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'negative'}]
"nhà_hàng có không_gian rất hay và thoáng_đãng , nhân_viên phục_vụ năng_động và nhiệt_tình .","['SERVICE#GENERAL', 'AMBIENCE#GENERAL']","[{'SERVICE#GENERAL': 'positive'}, {'AMBIENCE#GENERAL': 'positive'}]"
"phần mì gồm có miếng cá_hồi na_uy với cải bó xôi , có hủ phô_mai kèm theo nữa , bỏ vào mì trộn lên ăn cùng , sốt thơm và béo nè , cá tươi , cọng mì ăn khá ổn .","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'neutral'}, {'FOOD#QUALITY': 'positive'}]"
cứ như nôn dọn lẹ đuổi khách tính tiền vậy .,['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'negative'}]
"mình uống cốc size vừa được miếng đào , ăn giòn giòn chua nhẹ .","['DRINKS#PRICES', 'DRINKS#STYLE&OPTIONS', 'DRINKS#QUALITY']","[{'DRINKS#PRICES': 'neutral'}, {'DRINKS#STYLE&OPTIONS': 'neutral'}, {'DRINKS#QUALITY': 'positive'}]"
sữa_đậu_nành thì mình không ưng lắm vì hơi loãng tính ra với mức giá k cốc thì mình không hài_lòng .,"['DRINKS#QUALITY', 'DRINKS#PRICES']","[{'DRINKS#QUALITY': 'neutral'}, {'DRINKS#PRICES': 'negative'}]"
"về món ăn beef steak top blade vẫn ổn như lần trước thử , mềm , sốt được .","['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS']","[{'FOOD#QUALITY': 'positive'}, {'FOOD#STYLE&OPTIONS': 'neutral'}]"
"tráng_miệng thì có loại hoa_quả ổi , dứa , dưa_hấu",['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'neutral'}]
đã ghé và kg bao_giờ ghé nữa .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'negative'}]
quán đông kín bàn nhưng lên đồ khá nhanh .,"['RESTAURANT#GENERAL', 'SERVICE#GENERAL']","[{'RESTAURANT#GENERAL': 'positive'}, {'SERVICE#GENERAL': 'positive'}]"
nay được thử bánh sầu_riêng siêu ngon thấy hạnh_phúc quá đi .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
thích nhân_viên ở quán_từ lúc gửi xe cho đến khi về đều được phục_vụ chu_đáo .,['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'positive'}]
"dù bọn mình gọi món không nhiều , dù không phải các bạn bĩu môi bọn mình nhưng bạn đang đứng trước mặt khách đấy nhé .",['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'negative'}]
"tuy hơi bất_tiện nhưng chú chủ quán giải_thích là nồi giữ nhiệt lâu , mà công_nhận cho đồ_ăn vào là chín luôn .",['RESTAURANT#MISCELLANEOUS'],[{'RESTAURANT#MISCELLANEOUS': 'positive'}]
"có giấy sd free , ko thấy phải bù vat hay gì cả .",['RESTAURANT#MISCELLANEOUS'],[{'RESTAURANT#MISCELLANEOUS': 'positive'}]
"thức_ăn ra nhanh , thích nhất món top blade gr của quán , ngon , rẻ , nhiều .","['FOOD#STYLE&OPTIONS', 'FOOD#PRICES', 'FOOD#QUALITY', 'SERVICE#GENERAL']","[{'FOOD#STYLE&OPTIONS': 'positive'}, {'FOOD#PRICES': 'positive'}, {'FOOD#QUALITY': 'positive'}, {'SERVICE#GENERAL': 'positive'}]"
gọi ly size lớn uống lần no luôn .,['DRINKS#STYLE&OPTIONS'],[{'DRINKS#STYLE&OPTIONS': 'positive'}]
"nhiều món để lựa_chọn , có lẩu , mì nước hoặc khô , gỏi cuốn , mấy món cuốn nữa .",['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'positive'}]
sẽ ghé lại ăn nếu có dịp .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'neutral'}]
"trà cũng được , mà không đậm bằng mấy bữa mình đặt .",['DRINKS#QUALITY'],[{'DRINKS#QUALITY': 'neutral'}]
"kết nhất món cá_mú sasimi của quán , thịt dòn dai và rất tươi .",['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
"nhaan viên vui_vẻ , thân_thiện .",['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'positive'}]
khi khách rất đông thì chờ rất mệt .,['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'negative'}]
ngoài_ra ở đây mình còn thích chè sương sa hạt lựu .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
"lúc đầu mình ngửi mùi thấy ko hấp_dẫn lắm , cũng chẳng trông_chờ gì nhiều .",['FOOD#QUALITY'],[{'FOOD#QUALITY': 'negative'}]
mình đăng_kí thành_viên của royal trên zalo nên được mã code giảm_giá thức uống bất_kì .,['RESTAURANT#MISCELLANEOUS'],[{'RESTAURANT#MISCELLANEOUS': 'positive'}]
đợt mình ăn còn khuyến_mãi tặng d .,['RESTAURANT#MISCELLANEOUS'],[{'RESTAURANT#MISCELLANEOUS': 'positive'}]
"quán thì đông mà nhân_viên thì ít , phục_vụ cũng chậm , order xong ngồi bấm dt đế hết pin mà không thấy món mình gọi lên , đến khi thấy món mình gọi thì không ngờ mang cho ngừoi sau mình .",['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'negative'}]
sợi mì và nước dùng tốt .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
"bánh thì giòn có xốt berries kết_hợp với dâu tươi ăn với kem lạnh và kem tươi , mình cho bánh này điểm .","['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS']","[{'FOOD#QUALITY': 'positive'}, {'FOOD#STYLE&OPTIONS': 'positive'}]"
trà lola bảo mày tự chọn đi thế_là mình chọn một chú sakura tea thanh mát ngọt_ngào ăn với bánh hợp thật_sự .,['DRINKS#QUALITY'],[{'DRINKS#QUALITY': 'positive'}]
"bánh order mới làm_nên đợi hơi lâu , hết mưa mới mang bánh ra ăn xong thì lại mưa .",['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'negative'}]
trà đào trà sữa cũng ngon .,['DRINKS#QUALITY'],[{'DRINKS#QUALITY': 'positive'}]
"hôm đó nhân_dịp valentine nên có đến đây , gọi suất chả cá cả cá và bao_tử với giá k suất .","['FOOD#PRICES', 'FOOD#STYLE&OPTIONS']","[{'FOOD#PRICES': 'neutral'}, {'FOOD#STYLE&OPTIONS': 'neutral'}]"
"không_gian tầng , không quá rộng , tầng dưới yên_tĩnh hơn tầng trên nhiều .",['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'neutral'}]
"đồ_ăn giống các quán nhậu , ko hợp_khẩu vị của mình lắm .",['FOOD#QUALITY'],[{'FOOD#QUALITY': 'neutral'}]
nhân_viên phục_vụ dễ_thương và nhiệt_tình .,['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'positive'}]
"quán có tầng tầng là nơi order và bàn ngồi , tầng là bàn ngồi và có cả ban_công nữa nha .",['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'neutral'}]
quyết_định tìm đến quán vì thấy view khá đẹp .,['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'positive'}]
"mỳ trứng thì nên ăn nóng mới ngon , k là cũng hơi tanh xíu siêu nhiều luôn .","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'positive'}, {'FOOD#QUALITY': 'neutral'}]"
"về bò bò ở đây mình thấy cực_kỳ tươi ngon nha , miếng bò vừa_phải được làm tái và chín theo ý của khách nữa đó nên mọi ngừoi nhớ nói muốn ăn tái hay chín nhen .","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'neutral'}, {'FOOD#QUALITY': 'positive'}]"
